id,skill_adi,tur,aciklama,oncelik,uygulandi,olusturulma
5436,ReYMeN-memory-tool + ReYMeN-web-search-tool,birlestir,'ReYMeN-memory-tool' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009497.6964028
7371,ReYMeN-memory-tool + ReYMeN-web-search-tool,birlestir,'ReYMeN-memory-tool' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009543.7406783
9306,ReYMeN-memory-tool + ReYMeN-web-search-tool,birlestir,'ReYMeN-memory-tool' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009545.0748448
11241,ReYMeN-memory-tool + ReYMeN-web-search-tool,birlestir,'ReYMeN-memory-tool' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009729.6382065
13176,ReYMeN-memory-tool + ReYMeN-web-search-tool,birlestir,'ReYMeN-memory-tool' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009731.258535
337,ReYMeN-ogrenme-sistemi,eksik_meta,"Eksik metadata: category/kategori, triggers/tetikleyiciler",6,1,1783009304.4023132
868,ReYMeN-ogrenme-sistemi,eksik_meta,"Eksik metadata: category/kategori, triggers/tetikleyiciler",6,1,1783009309.6529138
1399,ReYMeN-ogrenme-sistemi,eksik_meta,"Eksik metadata: category/kategori, triggers/tetikleyiciler",6,1,1783009316.5876698
1929,ReYMeN-ogrenme-sistemi,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009496.2184908
3864,ReYMeN-ogrenme-sistemi,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009497.6964028
5799,ReYMeN-ogrenme-sistemi,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009543.7406783
7734,ReYMeN-ogrenme-sistemi,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009545.0748448
9669,ReYMeN-ogrenme-sistemi,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009729.6382065
11604,ReYMeN-ogrenme-sistemi,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009731.258535
3502,ReYMeN-ogrenme-sistemi + ReYMeN-proje-benchmark,birlestir,'ReYMeN-ogrenme-sistemi' ve 'ReYMeN-proje-benchmark' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009496.2184908
5437,ReYMeN-ogrenme-sistemi + ReYMeN-proje-benchmark,birlestir,'ReYMeN-ogrenme-sistemi' ve 'ReYMeN-proje-benchmark' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009497.6964028
7372,ReYMeN-ogrenme-sistemi + ReYMeN-proje-benchmark,birlestir,'ReYMeN-ogrenme-sistemi' ve 'ReYMeN-proje-benchmark' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009543.7406783
9307,ReYMeN-ogrenme-sistemi + ReYMeN-proje-benchmark,birlestir,'ReYMeN-ogrenme-sistemi' ve 'ReYMeN-proje-benchmark' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009545.0748448
11242,ReYMeN-ogrenme-sistemi + ReYMeN-proje-benchmark,birlestir,'ReYMeN-ogrenme-sistemi' ve 'ReYMeN-proje-benchmark' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009729.6382065
13177,ReYMeN-ogrenme-sistemi + ReYMeN-proje-benchmark,birlestir,'ReYMeN-ogrenme-sistemi' ve 'ReYMeN-proje-benchmark' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009731.258535
3503,ReYMeN-ogrenme-sistemi + ReYMeN-proje-mimarisi,birlestir,'ReYMeN-ogrenme-sistemi' ve 'ReYMeN-proje-mimarisi' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009496.2184908
5438,ReYMeN-ogrenme-sistemi + ReYMeN-proje-mimarisi,birlestir,'ReYMeN-ogrenme-sistemi' ve 'ReYMeN-proje-mimarisi' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009497.6964028
7373,ReYMeN-ogrenme-sistemi + ReYMeN-proje-mimarisi,birlestir,'ReYMeN-ogrenme-sistemi' ve 'ReYMeN-proje-mimarisi' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009543.7406783
9308,ReYMeN-ogrenme-sistemi + ReYMeN-proje-mimarisi,birlestir,'ReYMeN-ogrenme-sistemi' ve 'ReYMeN-proje-mimarisi' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009545.0748448
11243,ReYMeN-ogrenme-sistemi + ReYMeN-proje-mimarisi,birlestir,'ReYMeN-ogrenme-sistemi' ve 'ReYMeN-proje-mimarisi' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009729.6382065
13178,ReYMeN-ogrenme-sistemi + ReYMeN-proje-mimarisi,birlestir,'ReYMeN-ogrenme-sistemi' ve 'ReYMeN-proje-mimarisi' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009731.258535
338,ReYMeN-proje-benchmark,eksik_meta,"Eksik metadata: category/kategori, triggers/tetikleyiciler",6,1,1783009304.4023132
869,ReYMeN-proje-benchmark,eksik_meta,"Eksik metadata: category/kategori, triggers/tetikleyiciler",6,1,1783009309.6529138
1400,ReYMeN-proje-benchmark,eksik_meta,"Eksik metadata: category/kategori, triggers/tetikleyiciler",6,1,1783009316.5876698
1930,ReYMeN-proje-benchmark,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009496.2184908
3865,ReYMeN-proje-benchmark,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009497.6964028
5800,ReYMeN-proje-benchmark,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009543.7406783
7735,ReYMeN-proje-benchmark,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009545.0748448
9670,ReYMeN-proje-benchmark,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009729.6382065
11605,ReYMeN-proje-benchmark,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009731.258535
339,ReYMeN-proje-mimarisi,eksik_meta,"Eksik metadata: category/kategori, triggers/tetikleyiciler",6,1,1783009304.4023132
870,ReYMeN-proje-mimarisi,eksik_meta,"Eksik metadata: category/kategori, triggers/tetikleyiciler",6,1,1783009309.6529138
1401,ReYMeN-proje-mimarisi,eksik_meta,"Eksik metadata: category/kategori, triggers/tetikleyiciler",6,1,1783009316.5876698
1931,ReYMeN-proje-mimarisi,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009496.2184908
3866,ReYMeN-proje-mimarisi,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009497.6964028
5801,ReYMeN-proje-mimarisi,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009543.7406783
7736,ReYMeN-proje-mimarisi,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009545.0748448
9671,ReYMeN-proje-mimarisi,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009729.6382065
11606,ReYMeN-proje-mimarisi,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009731.258535
340,ReYMeN-skill-tool,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009304.4023132
871,ReYMeN-skill-tool,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009309.6529138
1402,ReYMeN-skill-tool,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009316.5876698
1932,ReYMeN-skill-tool,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009496.2184908
3867,ReYMeN-skill-tool,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009497.6964028
5802,ReYMeN-skill-tool,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009543.7406783
7737,ReYMeN-skill-tool,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009545.0748448
9672,ReYMeN-skill-tool,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009729.6382065
11607,ReYMeN-skill-tool,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009731.258535
525,ReYMeN-skill-tool + ReYMeN-tool-patterns,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tool-patterns' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009304.4023132
1056,ReYMeN-skill-tool + ReYMeN-tool-patterns,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tool-patterns' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009309.6529138
1587,ReYMeN-skill-tool + ReYMeN-tool-patterns,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tool-patterns' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009316.5876698
3504,ReYMeN-skill-tool + ReYMeN-tool-patterns,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tool-patterns' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009496.2184908
5439,ReYMeN-skill-tool + ReYMeN-tool-patterns,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tool-patterns' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009497.6964028
7374,ReYMeN-skill-tool + ReYMeN-tool-patterns,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tool-patterns' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009543.7406783
9309,ReYMeN-skill-tool + ReYMeN-tool-patterns,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tool-patterns' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009545.0748448
11244,ReYMeN-skill-tool + ReYMeN-tool-patterns,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tool-patterns' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009729.6382065
13179,ReYMeN-skill-tool + ReYMeN-tool-patterns,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tool-patterns' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009731.258535
526,ReYMeN-skill-tool + ReYMeN-tts-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009304.4023132
1057,ReYMeN-skill-tool + ReYMeN-tts-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009309.6529138
1588,ReYMeN-skill-tool + ReYMeN-tts-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009316.5876698
3505,ReYMeN-skill-tool + ReYMeN-tts-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009496.2184908
5440,ReYMeN-skill-tool + ReYMeN-tts-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009497.6964028
7375,ReYMeN-skill-tool + ReYMeN-tts-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009543.7406783
9310,ReYMeN-skill-tool + ReYMeN-tts-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009545.0748448
11245,ReYMeN-skill-tool + ReYMeN-tts-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009729.6382065
13180,ReYMeN-skill-tool + ReYMeN-tts-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009731.258535
527,ReYMeN-skill-tool + ReYMeN-web-search-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009304.4023132
1058,ReYMeN-skill-tool + ReYMeN-web-search-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009309.6529138
1589,ReYMeN-skill-tool + ReYMeN-web-search-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009316.5876698
3506,ReYMeN-skill-tool + ReYMeN-web-search-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009496.2184908
5441,ReYMeN-skill-tool + ReYMeN-web-search-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009497.6964028
7376,ReYMeN-skill-tool + ReYMeN-web-search-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009543.7406783
9311,ReYMeN-skill-tool + ReYMeN-web-search-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009545.0748448
11246,ReYMeN-skill-tool + ReYMeN-web-search-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009729.6382065
13181,ReYMeN-skill-tool + ReYMeN-web-search-tool,birlestir,'ReYMeN-skill-tool' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009731.258535
341,ReYMeN-tool-patterns,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009304.4023132
872,ReYMeN-tool-patterns,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009309.6529138
1403,ReYMeN-tool-patterns,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009316.5876698
1933,ReYMeN-tool-patterns,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009496.2184908
3868,ReYMeN-tool-patterns,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009497.6964028
5803,ReYMeN-tool-patterns,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009543.7406783
7738,ReYMeN-tool-patterns,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009545.0748448
9673,ReYMeN-tool-patterns,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009729.6382065
11608,ReYMeN-tool-patterns,eksik_meta,Eksik metadata: triggers/tetikleyiciler,6,1,1783009731.258535
528,ReYMeN-tool-patterns + ReYMeN-tts-tool,birlestir,'ReYMeN-tool-patterns' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009304.4023132
1059,ReYMeN-tool-patterns + ReYMeN-tts-tool,birlestir,'ReYMeN-tool-patterns' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009309.6529138
1590,ReYMeN-tool-patterns + ReYMeN-tts-tool,birlestir,'ReYMeN-tool-patterns' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009316.5876698
3507,ReYMeN-tool-patterns + ReYMeN-tts-tool,birlestir,'ReYMeN-tool-patterns' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009496.2184908
5442,ReYMeN-tool-patterns + ReYMeN-tts-tool,birlestir,'ReYMeN-tool-patterns' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009497.6964028
7377,ReYMeN-tool-patterns + ReYMeN-tts-tool,birlestir,'ReYMeN-tool-patterns' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009543.7406783
9312,ReYMeN-tool-patterns + ReYMeN-tts-tool,birlestir,'ReYMeN-tool-patterns' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009545.0748448
11247,ReYMeN-tool-patterns + ReYMeN-tts-tool,birlestir,'ReYMeN-tool-patterns' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009729.6382065
13182,ReYMeN-tool-patterns + ReYMeN-tts-tool,birlestir,'ReYMeN-tool-patterns' ve 'ReYMeN-tts-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009731.258535
529,ReYMeN-tool-patterns + ReYMeN-web-search-tool,birlestir,'ReYMeN-tool-patterns' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009304.4023132
1060,ReYMeN-tool-patterns + ReYMeN-web-search-tool,birlestir,'ReYMeN-tool-patterns' ve 'ReYMeN-web-search-tool' benzer (benzerlik: %1) — tek bir skill'de birleştirilebilir,4,1,1783009309.6529138
